region_name,country_name,city_name,Exceed Days (any)
Eastern Europe,Turkey,Istanbul,310
Western Europe,United Kingdom,London,174
Central Europe,Czech Republic,Prague,142
Eastern Europe,Russia,Moscow,136
Eastern Europe,Russia,Ufa,130
Central Europe,Germany,Berlin,126
Eastern Europe,Turkey,Ankara,125
Western Europe,Italy,Rome,124
Western Europe,France,Paris,112
Central Europe,Austria,Graz,111
Western Europe,Sweden,Gothenburg,93
Central Europe,Croatia,Zagreb,93
Central Europe,Hungary,Budapest,90
Eastern Europe,Russia,St. Petersburg,82
Central Europe,Austria,Vienna,77
Central Europe,Austria,Salzburg,74
Eastern Europe,Belarus,Minsk,70
Central Europe,Poland,Warsaw,67
Central Europe,Germany,Hamburg,66
Western Europe,United Kingdom,Edinburgh,66
Eastern Europe,Russia,Kazan,66
Western Europe,Spain,Barcelona,65
Central Europe,Czech Republic,Brno,64
Western Europe,Belgium,Brussels,63
Central Europe,Germany,Stuttgart,62
Western Europe,France,Lyon,60
Central Europe,Germany,Munich,55
Western Europe,Finland,Helsinki,46
Western Europe,Italy,Milan,45
Western Europe,Sweden,Stockholm,34
Eastern Europe,Greece,Athens,32
Western Europe,France,Marseille,31
Western Europe,Denmark,Copenhagen,22
Eastern Europe,Serbia,Belgrade,11
Central Europe,Germany,Leipzig,5
