year_num,quarter_num,region_name,country_name
2024,1,Eastern Europe,Turkey
2024,2,Eastern Europe,Turkey
2024,3,Eastern Europe,Turkey
2024,4,Eastern Europe,Turkey
2024,1,Eastern Europe,Russia
2024,2,Eastern Europe,Russia
2024,3,Eastern Europe,Russia
2024,4,Eastern Europe,Russia
2024,1,Central Europe,Germany
2024,2,Central Europe,Germany
2024,3,Central Europe,Germany
2024,4,Central Europe,Germany
2024,1,Western Europe,United Kingdom
2024,2,Western Europe,United Kingdom
2024,3,Western Europe,United Kingdom
2024,4,Western Europe,United Kingdom
2024,1,Western Europe,France
2024,2,Western Europe,France
2024,3,Western Europe,France
2024,4,Western Europe,France
2024,1,Central Europe,Austria
2024,2,Central Europe,Austria
2024,3,Central Europe,Austria
2024,4,Central Europe,Austria
2024,1,Western Europe,Italy
2024,2,Western Europe,Italy
2024,3,Western Europe,Italy
2024,4,Western Europe,Italy
2024,1,Western Europe,Sweden
2024,2,Western Europe,Sweden
2024,3,Western Europe,Sweden
2024,4,Western Europe,Sweden
2024,1,Central Europe,Czech Republic
2024,2,Central Europe,Czech Republic
2024,3,Central Europe,Czech Republic
2024,4,Central Europe,Czech Republic
2024,1,Eastern Europe,Greece
2024,2,Eastern Europe,Greece
2024,3,Eastern Europe,Greece
2024,4,Eastern Europe,Greece
