file,csv,rows,cols,seconds,error
a2_q01_B.mdx,a2_q01_B.csv,51,5,0.427,
a2_q02_A.mdx,a2_q02_A.csv,9,6,0.895,
a2_q03_B.mdx,a2_q03_B.csv,35,4,0.509,
a2_q04_A.mdx,a2_q04_A.csv,12,3,4.769,
a2_q05_B.mdx,a2_q05_B.csv,36,3,0.151,
a2_q06_A.mdx,a2_q06_A.csv,10,4,0.113,
a2_q07_B.mdx,a2_q07_B.csv,19,4,0.117,
a2_q08_A.mdx,a2_q08_A.csv,8,3,0.158,
a2_q09_B.mdx,a2_q09_B.csv,40,4,0.142,
a2_q10_A.mdx,a2_q10_A.csv,10,3,0.136,
a2_q31.mdx,a2_q31.csv,10,4,0.188,
a2_q32.mdx,a2_q32.csv,10,4,1.123,
a2_q33.mdx,a2_q33.csv,20,6,1.715,
